section_id	signature	n_genes_requested	n_genes_present	genes_present	mean_score	max_score
S1_D1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.085753	1.741785
S1_D1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	0.003569	0.860729
S1_D1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.024408	0.838332
S1_D1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.027746	0.784186
S1_D1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.015298	1.916175
S1_D1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.538957	1.552097
S2_A1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.156283	1.517572
S2_A1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.69104	2.151409
S2_A1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.163548	1.719661
S2_A1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.814931	2.596558
S2_A1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.484523	1.470251
S2_A1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.274543	1.23165
S2_A1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	0.033804	1.541235
S2_A1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	-0.033369	0.591081
S2_A1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	-0.10054	1.570028
S2_A1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	0.003481	1.441387
S2_A1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.00643	1.411205
S2_A1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.521814	1.78355
S2_B1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.152599	0.877472
S2_B1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.380437	2.303606
S2_B1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.251202	1.442401
S2_B1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	1.166483	2.5748
S2_B1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.759315	1.779749
S2_B1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.211543	1.257751
S2_B1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.193256	1.040017
S2_B1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	-0.137754	0.908025
S2_B1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	-0.004149	2.349952
S2_B1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.025837	1.217095
S2_B1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.000869	1.430179
S2_B1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.648156	1.978934
S2_C1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.062418	1.665964
S2_C1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.488048	1.95392
S2_C1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.117782	1.807636
S2_C1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.98694	2.814716
S2_C1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.573005	1.964051
S2_C1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.159554	1.268572
S2_C1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.172597	1.367961
S2_C1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	0.016043	1.140521
S2_C1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.017327	1.838917
S2_C1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	0.006773	2.015978
S2_C1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.007869	1.260467
S2_C1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.513855	1.580356
S2_D1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.037703	1.147496
S2_D1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.568935	1.820848
S2_D1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.094447	1.501137
S2_D1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.793166	2.424675
S2_D1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.514265	1.749385
S2_D1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.242328	1.208408
S2_D1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	0.071366	1.547723
S2_D1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	0.013878	0.769175
S2_D1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.069772	1.749856
S2_D1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.009365	1.460498
S2_D1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.005477	1.889024
S2_D1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.570058	1.38021
