prefix	donor	fraction	raw_barcodes	pre_filter_barcodes	final_filtered_cells	median_umi_final	median_genes_final	median_pct_mt_final	output_h5ad
GSM6281300_D1_APCenriched_raw_feature_bc_matrix	D1	APCenriched	737280	53571	53531	763.0	239.0	0.65	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281300_D1_APCenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281301_D1_CD45depleted_raw_feature_bc_matrix	D1	CD45depleted	737280	46993	46667	768.0	257.0	1.198	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281301_D1_CD45depleted_raw_feature_bc_matrix_filtered.h5ad
GSM6281302_D1_unenriched_raw_feature_bc_matrix	D1	unenriched	737280	7329	7322	1996.0	687.5	0.757	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281302_D1_unenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281304_D2_APCenriched_raw_feature_bc_matrix	D2	APCenriched	737280	10394	10384	6583.0	1459.0	1.966	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281304_D2_APCenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281305_D2_CD45depleted_raw_feature_bc_matrix	D2	CD45depleted	737280	1552	1524	2783.0	1074.0	2.741	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281305_D2_CD45depleted_raw_feature_bc_matrix_filtered.h5ad
GSM6281306_D2_unenriched_raw_feature_bc_matrix	D2	unenriched	737280	4591	4590	3508.0	997.0	1.486	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281306_D2_unenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281308_D3_APCenriched_raw_feature_bc_matrix	D3	APCenriched	737280	9037	9005	4041.0	1389.0	2.776	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281308_D3_APCenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281309_D3_CD45depleted_raw_feature_bc_matrix	D3	CD45depleted	737280	7398	7177	2417.0	994.0	2.775	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281309_D3_CD45depleted_raw_feature_bc_matrix_filtered.h5ad
GSM6281310_D3_unenriched_raw_feature_bc_matrix	D3	unenriched	737280	15603	15566	1814.0	811.5	2.268	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281310_D3_unenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281312_D4_APCenriched_raw_feature_bc_matrix	D4	APCenriched	737280	26214	26124	553.0	247.0	0.352	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281312_D4_APCenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281313_D4_CD45depleted_raw_feature_bc_matrix	D4	CD45depleted	737280	9247	8957	2652.0	959.0	2.621	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281313_D4_CD45depleted_raw_feature_bc_matrix_filtered.h5ad
GSM6281314_D4_unenriched_raw_feature_bc_matrix	D4	unenriched	737280	9875	9870	2738.5	1025.0	1.997	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281314_D4_unenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281316_D5_APCenriched_raw_feature_bc_matrix	D5	APCenriched	737280	13396	13374	3486.5	1172.0	2.98	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281316_D5_APCenriched_raw_feature_bc_matrix_filtered.h5ad
GSM6281317_D5_CD45depleted_raw_feature_bc_matrix	D5	CD45depleted	737280	9493	9389	2813.0	982.0	3.188	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281317_D5_CD45depleted_raw_feature_bc_matrix_filtered.h5ad
GSM6281318_D5_unenriched_raw_feature_bc_matrix	D5	unenriched	737280	7071	7070	2738.0	1104.0	2.313	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_filtered_per_sample/GSM6281318_D5_unenriched_raw_feature_bc_matrix_filtered.h5ad
