cluster	rank	names	scores	logfoldchanges	pvals	pvals_adj
6	14	FTL	20.837742	3.0880594	1.969128699364723e-96	5.148005680389159e-93
6	15	LGALS2	20.698635	6.0464215	3.5631344386920955e-95	8.694285572704626e-92
6	16	COTL1	19.649752	3.2922156	5.809576747472623e-86	1.3289769908390343e-82
6	17	CPVL	19.470358	5.667415	1.9589723780341406e-84	4.217667529907505e-81
6	18	LGALS1	19.255243	3.5915647	1.2757445772408777e-82	2.5940848484218534e-79
6	19	S100A10	19.182854	3.3886783	5.147699635913039e-82	9.916366019687007e-79
6	20	GSTP1	18.675632	2.8800032	7.815806202082784e-78	1.43033161401216e-74
6	21	HLA-DMA	18.43958	3.948537	6.322894781317796e-76	1.1020203423381553e-72
6	22	C1orf162	18.171274	5.027897	8.715041313459474e-74	1.4499055777905917e-70
6	23	SAT1	17.76498	3.0641367	1.3198663988336014e-70	2.1003665245090717e-67
6	24	AIF1	17.725248	2.8518538	2.6773019913645715e-70	4.0829970910806117e-67
6	25	SNX3	17.49937	3.0865858	1.4486111356243723e-68	2.120824646999506e-65
6	26	ARPC1B	17.411268	2.3804882	6.776556397221729e-68	9.539566949796636e-65
6	27	GRN	17.240257	3.7604613	1.3244542900675719e-66	1.7954204248430812e-63
6	28	GABARAP	17.206211	2.1677547	2.385368013401365e-66	3.118101952089406e-63
6	29	ACTB	17.09856	1.2507501	1.5211411890637683e-65	1.919837540031827e-62
6	30	MS4A6A	16.507113	6.4828877	3.261176870000554e-61	3.978744487296342e-58
6	31	S100A11	16.427547	2.5981345	1.2147364400064519e-60	1.4342118851831015e-57
6	32	TYMP	16.412022	3.0645287	1.5689443790314745e-60	1.7945291630290937e-57
6	33	LSP1	16.371399	2.579101	3.0609822453170525e-60	3.3950003382075586e-57
6	34	VIM	16.239166	2.2567163	2.665227681415656e-59	2.869117599043954e-56
6	35	IRF8	15.840661	4.0439577	1.6309611490464846e-56	1.7055659718928682e-53
6	36	IFI30	15.692426	3.8396807	1.7041668724722678e-55	1.68578950538804e-52
6	37	HCK	15.387773	5.1504784	1.9772183216454845e-53	1.9044254681722731e-50
6	38	NME2	15.337956	2.124392	4.26409114206558e-53	4.001794868993392e-50
6	39	TYROBP	15.156088	4.688421	6.906262258806232e-52	6.319402623364173e-49
6	40	TMSB10	15.08427	1.5261067	2.0553667688044272e-51	1.834840953780752e-48
6	41	PPT1	14.971013	3.4061959	1.1357809492673634e-50	9.897790124793992e-48
6	42	C1orf54	14.931953	4.8790975	2.041948745486898e-50	1.7380782798503712e-47
6	43	NPC2	14.859171	2.7830284	6.06711739326541e-50	5.046876447975165e-47
6	44	CSTB	14.534281	2.1178043	7.348101510385398e-48	5.976619186258132e-45
6	45	FGL2	14.474608	5.58079	1.7532145395061165e-47	1.3949870730535517e-44
6	46	VAMP8	14.331354	2.3709767	1.3937684542285032e-46	1.0853897700684563e-43
6	47	SERPINB1	14.265868	2.7363174	3.571199640741621e-46	2.723114126058001e-43
6	48	HLA-DMB	14.259292	3.8115733	3.924153673216254e-46	2.9311826243548597e-43
6	49	DNASE1L3	14.159473	5.9033556	1.6321171471836325e-45	1.1713160726287868e-42
6	50	ALDH2	14.157794	3.4092958	1.6715965461242853e-45	1.1765789458595186e-42
6	51	SAMHD1	14.054887	3.2263744	7.189719427131324e-45	4.965111712310068e-42
6	52	ANXA2	14.030596	2.579632	1.0129733006093953e-44	6.865895514000829e-42
6	53	FCER1G	13.955397	5.2615848	2.916742638222282e-44	1.941012678210432e-41
6	54	ZYX	13.860893	2.5300817	1.0930523507190985e-43	7.144073051548165e-41
