cluster	rank	gene	score	logfoldchange	pvals_adj	pct_nonzero_in_cluster
6	11	SPINK5	26.680042	7.6497555	1.934486689253344e-153	0.0
6	12	FXYD3	26.496283	6.050378	2.364112672721969e-151	0.028985507246376812
6	13	KRT19	26.016556	4.9862256	6.563761510802751e-146	0.10144927536231885
6	14	S100A14	25.833221	4.3263087	7.115354912933695e-144	0.0
6	15	VAMP8	25.75859	3.9250975	4.566435346729056e-143	0.0
6	16	CLDN4	25.608995	6.088808	2.0076850625499827e-141	0.011594202898550725
6	17	TACSTD2	25.52579	6.3418765	1.591030152509889e-140	0.011594202898550725
6	18	PPDPF	25.26059	2.5004566	1.2765240747214771e-137	0.3159420289855073
6	19	CD24	25.2324	5.9626055	2.4666648022286387e-137	0.08115942028985507
6	20	RAB25	24.987377	5.535139	1.1119069155517166e-134	0.27246376811594203
6	21	CLIC3	24.76866	5.0902143	2.4647929447286066e-132	0.02318840579710145
6	22	LYPD2	24.635862	6.9717803	6.288693219044254e-131	0.057971014492753624
6	23	SMIM22	24.48548	6.448906	2.432147776035142e-129	0.4579710144927536
6	24	KRT23	24.476871	7.677936	2.8784781160883468e-129	0.7768115942028986
6	25	CALML3	24.333223	4.206285	9.257910657260756e-128	0.0
6	26	C19orf33	24.239748	5.3788223	8.65125860087985e-127	0.3217391304347826
6	27	DMKN	24.07873	5.1542115	4.102109683671215e-125	0.17681159420289855
6	28	MAL2	24.07264	6.973609	4.581525151105382e-125	0.09565217391304348
6	29	LYPD3	24.020906	6.5823116	1.4867503663772464e-124	0.0
6	30	MUC15	23.671669	6.678701	6.041504180403268e-121	0.1072463768115942
6	31	HOPX	23.583172	5.352021	4.7540822118037536e-120	0.0
6	32	ELF3	23.474552	6.2144675	5.96527784447801e-119	0.017391304347826087
6	33	SPINT2	23.47053	3.6489031	6.364232817091068e-119	0.11304347826086956
6	34	KRT18	23.425802	4.6431727	1.7678735870407533e-118	0.0927536231884058
6	35	HSPB1	23.163338	2.1073534	7.859246265825738e-116	0.48405797101449277
6	36	SNCG	23.021143	3.3275065	2.0520239349210736e-114	0.11304347826086956
6	37	CST6	22.62982	6.5009766	1.5388684769873737e-110	0.008695652173913044
6	38	CYP4B1	22.468843	6.1836605	5.694505436787927e-109	0.002898550724637681
6	39	RHOV	22.413681	6.3287206	1.9193016654215223e-108	0.37681159420289856
6	40	KRT10	22.38094	3.9039128	3.904215160763412e-108	0.005797101449275362
6	41	S100A8	22.014343	5.8238974	1.3252836830778533e-104	0.08695652173913043
6	42	CNFN	21.988358	5.1358857	2.295595903489973e-104	0.2608695652173913
6	43	CD9	21.764164	3.102848	3.0574069840767516e-102	0.17971014492753623
6	44	CLDN3	21.75509	5.606176	3.643558499471369e-102	0.3188405797101449
6	45	GLTP	21.735985	3.6600883	5.404858187465617e-102	0.2927536231884058
6	46	LCN2	21.486399	6.6583333	1.1529944503317408e-99	0.005797101449275362
6	47	DEFB1	21.42104	7.4109797	4.604224623272567e-99	0.23768115942028986
6	48	RAB11FIP1	21.30456	4.6930947	5.4625534220877424e-98	0.057971014492753624
6	49	DSP	21.04356	3.573872	1.33595550722152e-95	0.7275362318840579
6	50	NCCRP1	21.024746	7.5610523	1.9488080003782453e-95	0.2927536231884058
7	1	ACKR1	28.77229	5.411367	1.2642437983179704e-177	0.0
7	2	CD74	27.114481	3.5221705	8.812817206965202e-158	0.0
7	3	CDC42EP3	26.205572	4.0147295	2.0296061165976645e-147	0.0
7	4	B2M	26.047253	1.6870353	9.582232891009092e-146	0.1390532544378698
7	5	HLA-A	25.983335	2.2527115	4.0530107022619606e-145	0.12721893491124261
7	6	TSPAN7	25.517744	3.6031086	5.537175621725753e-140	0.0
7	7	SPARCL1	25.163202	2.8430018	3.838995493091257e-136	0.0029585798816568047
7	8	RAMP3	24.419361	3.5061471	3.5313243356768114e-128	0.0029585798816568047
7	9	HLA-DRB1	23.861614	3.2315943	2.260720393738217e-122	0.0
7	10	FKBP1A	23.547506	2.1885135	3.530868630092737e-119	0.03254437869822485
7	11	ENG	23.256588	2.834729	2.941625255055148e-116	0.0
7	12	NFKBIA	23.120272	2.701805	6.399282307379604e-115	0.011834319526627219
7	13	CD59	23.070808	2.3057241	1.8553250512806677e-114	0.005917159763313609
7	14	SDCBP	22.908009	2.4635153	7.323698868675536e-113	0.0
7	15	TM4SF1	22.881376	3.0296082	1.2591197735405727e-112	0.0
7	16	SOCS3	22.814457	3.143797	5.461721312578626e-112	0.0
7	17	DUSP23	22.567427	3.0343337	1.4128036249903676e-109	0.005917159763313609
7	18	ADGRL4	22.541267	2.9898744	2.4098671493268095e-109	0.21005917159763313
7	19	HLA-C	22.426283	2.036641	3.044496478997496e-108	0.0
7	20	CDKN1A	22.22146	3.2190158	2.824717058367968e-106	0.008875739644970414
7	21	ZFP36	22.213316	3.0276918	3.2250933186280953e-106	0.0029585798816568047
7	22	HLA-DRA	22.177216	2.9572473	6.870978687439765e-106	0.005917159763313609
7	23	HLA-E	21.94401	2.0666947	1.1391485821068886e-103	0.026627218934911243
7	24	HLA-DPA1	21.72441	2.961441	1.332933449498101e-101	0.7189349112426036
7	25	NNMT	21.654655	3.0847392	5.82808914956041e-101	0.0
7	26	HLA-DPB1	21.439798	2.816034	5.7995757474754076e-99	0.14792899408284024
7	27	RCAN1	21.327478	4.316374	6.199670050503608e-98	0.0029585798816568047
7	28	SLC2A3	21.311272	2.88405	8.452162013805923e-98	0.023668639053254437
7	29	NPC2	21.102577	2.204031	6.887622149700475e-96	0.0
7	30	IFI27	21.00066	2.5902596	5.717773594234373e-95	0.0029585798816568047
7	31	BCAM	20.935904	2.308107	2.1578758104293865e-94	0.008875739644970414
7	32	SELE	20.788124	4.9895663	4.59429816197915e-93	0.038461538461538464
