broad_class	n_cells	pct_total
Capsule_stromal	26	0.28
Contaminant	398	4.35
Cycling	180	1.97
Fibroblast	1902	20.8
Immune_contaminant	560	6.12
Perivascular	1157	12.65
TEC	1809	19.78
Vascular	1785	19.52
Vascular_MHCII	1328	14.52
