prefix	section_id	raw_spots	in_tissue_spots	filtered_spots	median_total_counts	median_n_genes	median_pct_mt	output_h5ad
GSM6281320_S1_A1	S1_A1	4992	2276	2275	5831.0	2575.0	2.32	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_spatial_sections/GSM6281320_S1_A1_spatial_scored.h5ad
GSM6281321_S1_B1	S1_B1	4992	2594	2594	13665.0	4367.0	3.407	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_spatial_sections/GSM6281321_S1_B1_spatial_scored.h5ad
GSM6281322_S1_C1	S1_C1	4992	2269	2266	12593.0	4055.5	2.913	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_spatial_sections/GSM6281322_S1_C1_spatial_scored.h5ad
GSM6281323_S1_D1	S1_D1	4992	2582	2578	6067.5	2850.0	2.267	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_spatial_sections/GSM6281323_S1_D1_spatial_scored.h5ad
GSM6281324_S2_A1	S2_A1	4992	2515	2514	14659.5	4862.5	1.105	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_spatial_sections/GSM6281324_S2_A1_spatial_scored.h5ad
GSM6281325_S2_B1	S2_B1	4992	1623	1623	18154.0	5163.0	2.549	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_spatial_sections/GSM6281325_S2_B1_spatial_scored.h5ad
GSM6281326_S2_C1	S2_C1	4992	2227	2223	4449.0	2008.0	4.123	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_spatial_sections/GSM6281326_S2_C1_spatial_scored.h5ad
GSM6281327_S2_D1	S2_D1	4992	2243	2241	11845.0	4574.0	0.871	/mnt/d/thymic_apc_atlas_project/data/processed/heimli_spatial_sections/GSM6281327_S2_D1_spatial_scored.h5ad
