leiden_0_8	ADT_feature	mean_log1p_ADT
0	CD11b	4.580744775135448
0	CD11c	4.0784579619859125
0	CD123	3.8677333378977576
0	CD14-1	3.6644368557930416
0	CD16	3.6459670747848887
0	CD38-1	3.4331836131543128
0	CD19-1	3.3578661003993973
0	CD141	3.2964100228928994
0	CD45RA	3.232523725637915
0	CD3	3.094889545569452
0	CD45RO	2.999438348627855
0	CD8a	2.8273808171400376
0	CD4-1	2.465373965800489
0	CD56	2.4559149065635903
0	CD197	2.4213651484504783
0	EPCAM-1	1.9097968479932539
0	CD249	1.7346341130150391
0	CDR2-1	1.091175297652393
1	CD38-1	4.9484623449145575
1	CD3	4.013826878694425
1	CD11b	3.9207051344363943
1	CD4-1	3.407416137094581
1	CD123	3.404233855055603
1	CD11c	3.3525924370024582
1	CD8a	3.3321899857961244
1	CD141	3.200655389660089
1	CD19-1	3.1860190675159505
1	CD14-1	3.0648734275230645
1	CD16	2.964932618178901
1	CD45RO	2.91524651995865
1	CD45RA	2.7522873618684676
1	EPCAM-1	2.1560896756958834
1	CD249	2.0422807058377916
1	CD56	1.9774675856918318
1	CD197	1.789341535379128
1	CDR2-1	1.58246934401953
10	CD11b	4.913407201772209
10	CD11c	4.571515412963792
10	CD123	4.121462491158802
10	CD14-1	3.9965391179207845
10	CD38-1	3.8755258261502306
10	CD16	3.864705165649947
10	CD19-1	3.5995374461593443
10	CD141	3.553714775581761
10	CD45RO	3.4742174134333004
10	CD8a	3.2243301560500974
10	CD45RA	3.210515325081875
10	CD3	3.177114266095034
10	CD4-1	2.929693029547512
10	CD56	2.807322599022313
10	EPCAM-1	2.182953039426481
10	CD197	2.182917618994923
10	CD249	2.1690229039700015
10	CDR2-1	1.3891652500961558
11	CD3	5.292641795827998
11	CD38-1	5.104351961032278
11	EPCAM-1	3.3188419899603496
11	CD249	3.3129680823327683
11	CDR2-1	2.9226598000954103
11	CD11c	1.155442069515236
11	CD11b	1.1375222067484463
11	CD14-1	0.9983373956951797
11	CD16	0.9753825285745658
11	CD123	0.9567859125616266
11	CD45RO	0.8809398391706651
11	CD8a	0.8767634751057141
11	CD45RA	0.8591550655198263
11	CD141	0.8551111706118979
11	CD19-1	0.8509728282331107
11	CD4-1	0.8228166189494891
11	CD197	0.7409250919579009
11	CD56	0.7335035666480799
12	CD38-1	5.157495679898079
12	CD3	4.039969012644382
12	CD123	3.309107242715981
12	CD11b	3.1241281285863725
12	CD11c	2.801223009860581
12	EPCAM-1	2.601820894781171
12	CD249	2.59204960602101
12	CD14-1	2.5311452487822996
12	CD45RA	2.49949554494461
12	CD16	2.3670047169264885
12	CD4-1	2.312011029692088
12	CD141	2.251920471633056
12	CD45RO	2.1695650231263324
12	CD19-1	2.164382769389703
12	CD8a	2.028483130025777
12	CDR2-1	1.9425060518156754
12	CD56	1.6841234269057805
12	CD197	1.016311068486628
13	CD3	5.099446143110502
13	CD38-1	4.62645017896386
13	EPCAM-1	3.381291724645718
13	CD249	3.371880404845096
13	CDR2-1	2.602182480509195
13	CD11b	0.1107896295713552
13	CD11c	0.10134314920956856
13	CD45RO	0.0924478263200451
13	CD16	0.091552420008899
13	CD123	0.09061086176729027
13	CD14-1	0.09011577877724072
13	CD8a	0.07785462551083597
13	CD141	0.07647601436433056
13	CD45RA	0.0756650593899661
13	CD19-1	0.06928414968414696
13	CD56	0.05798280283822036
13	CD4-1	0.05793395505988952
13	CD197	0.038754993260105175
14	CD3	5.297890459405607
14	CD38-1	4.8389502752656
14	EPCAM-1	3.5069826029861355
14	CD249	3.451623255520858
