leiden_0_8	ADT_feature	mean_log1p_ADT
14	CDR2-1	2.7894869466295535
14	CD45RO	0.12134904287620048
14	CD11b	0.11468452772358219
14	CD16	0.10637393238577975
14	CD11c	0.10597027074227304
14	CD123	0.1015502832889692
14	CD14-1	0.10148360280995103
14	CD45RA	0.0984244333828851
14	CD19-1	0.08464428251158547
14	CD8a	0.08378389124858471
14	CD141	0.0788628388441521
14	CD56	0.07030592188209929
14	CD4-1	0.06558324136757986
14	CD197	0.05715422679784778
15	CD3	5.641801330639808
15	CD38-1	4.9980651261622215
15	EPCAM-1	3.6641990985738127
15	CD249	3.5669371669290606
15	CDR2-1	3.1292301883536546
15	CD45RO	0.07236355840806287
15	CD8a	0.03306558963224945
15	CD45RA	0.030008501074632123
15	CD16	0.02990975914551314
15	CD11b	0.029040634606366765
15	CD11c	0.023383087849412735
15	CD14-1	0.016919047448205663
15	CD123	0.016852669834287407
15	CD141	0.014959676075180273
15	CD19-1	0.014597131274778574
15	CD4-1	0.008938560884127323
15	CD56	0.005808541358477516
15	CD197	0.003935541124541918
16	CD3	4.985878985705617
16	CD38-1	4.740160284777765
16	EPCAM-1	3.2966187659997934
16	CD249	3.2756471045275735
16	CDR2-1	2.5021929048248865
16	CD45RO	0.034783426499470776
16	CD16	0.020690046811887807
16	CD11b	0.019483865929956563
16	CD8a	0.017589010371745033
16	CD11c	0.01621290133560288
16	CD45RA	0.01323108532651615
16	CD141	0.011895541626015292
16	CD123	0.010208703981788124
16	CD19-1	0.009465616350165804
16	CD14-1	0.007376958374738141
16	CD4-1	0.005955765806085388
16	CD56	0.004787874084369943
16	CD197	0.0
17	CD3	4.877926550164025
17	CD38-1	4.532052443240463
17	CD249	3.2382108056112835
17	EPCAM-1	3.194220307244966
17	CDR2-1	2.735426680783098
17	CD11b	0.13418950887698786
17	CD11c	0.1272600743568188
17	CD16	0.11846960444828636
17	CD45RO	0.11392911096060448
17	CD14-1	0.11346613809082061
17	CD123	0.11137388945592029
17	CD141	0.09625970542328015
17	CD8a	0.09556470023260921
17	CD19-1	0.09482039413175748
17	CD45RA	0.08722699513912516
17	CD56	0.07530961198306425
17	CD4-1	0.0722586145814072
17	CD197	0.04847464137143536
18	CD3	5.075947721349972
18	CD38-1	4.562462297107332
18	EPCAM-1	3.344688161425589
18	CD249	3.275954502756088
18	CDR2-1	2.6478897218189656
18	CD45RO	0.14248043375867117
18	CD11b	0.1393014304413667
18	CD11c	0.1260889789345981
18	CD123	0.10815912071697277
18	CD16	0.10725065990248603
18	CD14-1	0.10656275234946105
18	CD45RA	0.10576264013816189
18	CD8a	0.09666148306817877
18	CD141	0.08833076067531755
18	CD19-1	0.08825956811571914
18	CD4-1	0.07889570151448572
18	CD56	0.07793408633673786
18	CD197	0.06327302521839605
19	CD3	4.94546821840426
19	CD38-1	4.621004250831381
19	EPCAM-1	3.3172578193737317
19	CD249	3.2797636151504244
19	CDR2-1	2.421772819349054
19	CD45RO	0.09485557484773244
19	CD11b	0.091098963597822
19	CD11c	0.08771316902545531
19	CD16	0.07547707793306417
19	CD14-1	0.07365969309456627
19	CD123	0.07198020363382368
19	CD19-1	0.06736560243226805
19	CD8a	0.06453236803804169
19	CD141	0.06043773145514079
19	CD45RA	0.0455409312080325
19	CD4-1	0.043131260320092624
19	CD56	0.04272084051206748
19	CD197	0.005153510636133422
2	CD38-1	4.622091958851846
2	CD3	4.543358938452772
2	CD11b	4.521472085150305
2	CD11c	4.102690816012327
2	CD14-1	3.7049073363469924
2	CD123	3.6967291497004027
2	CD16	3.524125120011768
2	CD45RO	3.4700514884892217
2	CD8a	3.3491098015624488
2	CD19-1	3.2084418382881026
2	CD141	3.188561290511035
2	CD4-1	3.059535250612302
2	CD45RA	2.9313336172354827
2	CD56	2.480595360133621
2	EPCAM-1	2.1713001129775713
2	CD249	2.1065924959726403
2	CD197	1.461302024925388
2	CDR2-1	1.377075773349455
20	CD3	5.958202473992183
20	CD38-1	5.615631397803554
20	EPCAM-1	3.35521464809105
20	CD249	3.3112109215928047
20	CDR2-1	2.5198285396260327
20	CD45RO	0.08839979471097405
20	CD45RA	0.03774191893818854
20	CD16	0.03627649149514426
20	CD8a	0.03541927139343567
20	CD11b	0.01404606708910713
20	CD19-1	0.011723419544354255
20	CD123	0.009649784759974283
20	CD11c	0.008184357316930001
20	CD14-1	0.004396282329132845
20	CD4-1	0.0023226475447528745
20	CD141	0.0014654274430442819
20	CD56	0.0014654274430442819
20	CD197	0.0
21	CD3	5.135336340460064
21	CD38-1	4.753017459699525
21	EPCAM-1	3.468660253016547
21	CD249	3.4183949770338082
21	CDR2-1	2.595281053477464
21	CD11b	0.1130910926482681
21	CD45RO	0.10595393689759357
21	CD11c	0.09839770585114091
21	CD123	0.09365170756273292
21	CD14-1	0.09234089409805483
21	CD16	0.088485404216508
21	CD45RA	0.08047864574999199
21	CD8a	0.0792535802428174
21	CD19-1	0.0790868242804445
21	CD141	0.07836620988820328
21	CD56	0.06337018289035698
21	CD4-1	0.05834577100473389
21	CD197	0.04488599983072545
22	CD3	5.150115443321434
22	CD38-1	4.695097109401655
22	EPCAM-1	3.3656060464251176
22	CD249	3.2713111366117325
22	CDR2-1	2.535086703374565
22	CD45RO	0.08664339756999316
22	CD11c	0.028881132523331052
22	CD123	0.022887756013918948
22	CD11b	0.014440566261665526
22	CD45RA	0.014440566261665526
22	CD14-1	0.014440566261665526
22	CD16	0.014440566261665526
22	CD19-1	0.0
22	CD8a	0.0
22	CD197	0.0
22	CD4-1	0.0
22	CD141	0.0
22	CD56	0.0
3	CD38-1	4.881660637481528
3	CD11b	4.829931304087031
3	CD3	4.777867494951299
3	CD11c	4.210053437561084
3	CD123	4.042516000608363
3	CD14-1	3.8525588892683245
3	CD16	3.665284370223009
3	CD141	3.6528157261496954
3	CD19-1	3.646094796226936
3	CD8a	3.615729091959704
3	CD45RO	3.588749861800794
3	CD4-1	3.4137565684909945
3	CD45RA	3.1775928837482916
3	CD56	2.484229221159237
3	EPCAM-1	1.9782371301031887
3	CD197	1.9316711749795659
3	CD249	1.892458747633986
3	CDR2-1	1.3201516570653384
4	CD38-1	4.95221302139713
4	CD3	3.9742820535837384
4	CD11b	3.254983537325664
4	CD123	2.79952241138648
4	CD11c	2.7164524077391
4	CD4-1	2.716065616577896
4	CD141	2.63233202937554
4	CD19-1	2.6262871406597887
4	CD8a	2.597940984541047
4	CD14-1	2.4864890032898916
4	CD16	2.3864177350428384
4	CD45RO	2.326615280137194
4	EPCAM-1	2.317833593865097
4	CD45RA	2.2255944938347327
4	CD249	2.213969366717979
4	CDR2-1	1.6676276587402081
4	CD56	1.5788181564931012
4	CD197	1.3498767152933768
5	CD38-1	5.558075382362175
5	CD11b	4.8772755922245805
5	CD4-1	4.22961585287145
5	CD123	4.21127908732697
5	CD11c	4.19187395634474
5	CD8a	4.1222176254183225
5	CD19-1	4.087894098384986
5	CD3	4.086419015662778
5	CD141	4.070347793763195
5	CD14-1	3.876504556148881
5	CD16	3.751198189492632
5	CD45RO	3.6661104478234248
5	CD45RA	3.4928829401461043
5	CD197	2.553886822856507
5	CD56	2.505261016009537
5	EPCAM-1	1.9662250580339782
5	CD249	1.7338669744177178
5	CDR2-1	1.6039169115865146
6	CD38-1	4.71885348378709
6	CD3	4.199888706645976
6	CD11b	2.795386763793222
6	CD11c	2.7550658878952796
6	EPCAM-1	2.707950676631321
6	CD249	2.6934211127894194
6	CD14-1	2.398622363771627
6	CD123	2.246522742555785
6	CD16	2.203254446707467
6	CD45RO	2.0449735835236083
6	CD141	1.990793744439428
6	CD19-1	1.9015238850733422
6	CDR2-1	1.8828043052047778
6	CD4-1	1.782781680800817
6	CD8a	1.7355304260782485
6	CD45RA	1.6646067787410748
6	CD56	1.5599308615692127
6	CD197	0.9068384432514852
7	CD38-1	4.500909164025643
7	CD3	4.107736386482757
7	EPCAM-1	2.6637023458702096
7	CD249	2.650849739254237
7	CD11b	2.5374709282582364
7	CD11c	2.3470341988329904
7	CD19-1	2.2330255865742124
7	CD123	2.0890662968557843
7	CD14-1	2.08242986783653
7	CD16	1.9981381705229306
7	CD45RA	1.9685252232243813
7	CDR2-1	1.8178315910573775
7	CD45RO	1.7914721414823338
7	CD141	1.7391741682178747
7	CD8a	1.6161148632134923
7	CD4-1	1.498379946103962
7	CD56	1.4062449085675983
7	CD197	0.8092595157859781
8	CD38-1	4.500581779592021
8	CD11b	4.4200556254089545
8	CD141	3.9306045237463008
8	CD8a	3.80755918496796
8	CD123	3.8028836539336512
8	CD19-1	3.741711052219063
8	CD4-1	3.412519769908171
8	CD11c	3.3735993177141532
8	CD3	3.3699784393208025
8	CD14-1	3.0643466550916862
8	CD45RO	3.061496781680495
8	CD16	2.9359190296645803
8	CD45RA	2.9268568462172055
8	CD56	1.8056168652725713
8	CD197	1.719709950194337
8	EPCAM-1	1.4725061155758772
8	CD249	1.3552346841339198
8	CDR2-1	1.1206098060373946
9	CD11b	4.58620236946362
9	CD38-1	4.549684304323363
9	CD11c	4.125974288530194
9	CD123	4.069290815797553
9	CD141	4.058748506283183
9	CD19-1	3.8776396749188202
9	CD8a	3.790568899989157
9	CD14-1	3.647653563158406
9	CD3	3.638964678310458
9	CD16	3.610367831410489
9	CD4-1	3.2906269118210014
9	CD45RO	3.2687583112476037
9	CD45RA	3.260397511887334
9	CD56	2.3840300324864345
9	CD197	2.2595865306456413
9	EPCAM-1	1.8469727486327057
9	CD249	1.6618403444208583
9	CDR2-1	1.283768803559341
