leiden_0_6	n_cells	dominant_age_group	dominant_sample	refined_broad_TEC_mean	refined_cTEC_mean	refined_mTEC_mean	refined_mimetic_TEC_mean	refined_MHCII_AP_mean	refined_DC_specific_mean	refined_pDC_specific_mean	refined_B_specific_mean	refined_macrophage_specific_mean	refined_T_cell_mean	refined_fibroblast_mean	refined_endothelial_mean	refined_cycling_mean
0	1500	fetal	F_23wks_2	-0.15498614857885573	-0.09109132140517234	-0.13997890129089355	-0.00446608855120341	0.39448103539493345	-0.0029247613083256616	0.14074541258160272	-0.006561229611807533	-0.006314469277208117	-0.059793740080640354	-0.5553597627298038	0.8507883980834525	-0.03997513166056739
1	840	fetal	F_19wks	0.45920667071001875	0.755688163203143	0.41867590000799726	-0.004838184323764983	0.8911879547981043	-0.010426918933599713	-0.1055982882582006	-0.024251028969262938	-0.014559017513076937	-0.09538630462623358	0.0072914978762467705	-0.43141325267756603	0.026202330568361847
10	296	postnatal	P_10m_2	-0.1348449759440379	-0.010258468997639578	-0.1325587649723968	-0.007471802382050333	1.0691060668552244	-0.007824510403581569	0.16272575528396144	-0.010533130162584193	-0.027583232412276892	-0.1540338125590045	-0.46216956836951745	0.6423638844454252	-0.1239617352915911
11	288	postnatal	P_6d	-0.2920737069569252	-0.19977575373939344	-0.24150151044130327	-0.011666190660662122	-0.4434607053720565	-0.017999142232868404	0.1455841434283389	-0.048920262265901064	-0.03192244420315088	-0.19214798389954144	2.723721086051729	-0.515010857924518	-0.16574359058643934
12	285	fetal	F_23wks_1	-0.21952063641352962	-0.00046880497430500264	-0.1800979250774049	-0.006385829562471624	-0.03633097138600043	-0.0075005285840285445	0.24548344979202538	-0.010265481587484882	-0.00607935588421179	-0.09974255741379447	-0.5953885633359876	0.6257768912672806	-0.07359849562700728
13	267	postnatal	P_10m_2	-0.11443575357527619	-0.08545489543386167	-0.087453060927016	-0.004887213271208917	-0.05855707890383164	-0.010076147771804371	-0.05334537998299474	-0.020404188810032687	-0.025472859122603386	-0.1295743503853545	-0.122872514483634	-0.44085460834379064	-0.09906810273168686
14	266	adult	A_25y	-0.15067778242859325	-0.1349789854368769	0.039161512080888104	-0.005764132887797248	0.13085816744126771	-0.010773065996946846	-0.05783717764051337	-0.02067448235167337	-0.004014461274641879	-0.1678295556159399	0.7839097477798176	-0.35127855605322944	-0.1252979501364823
15	250	postnatal	P_6d	-0.14539225949605308	-0.13255849173784257	-0.13898471384048464	-0.010211622749328613	-0.12576197311878204	0.10502468842124939	-0.17681377277565002	0.2077806666161836	0.09559764773251334	1.7916422837987043	-0.2723161010837555	-0.41416415043118027	-0.09692488916158676
16	216	adult	A_25y	0.402792683015635	-0.1311666621654122	0.7543373718747387	-0.005719173619040736	0.1124973421037933	-0.015224387402887698	-0.11882128832516846	-0.01966472464971664	-0.018890393227252944	-0.1197626442650554	-0.17516336383642972	-0.3293732223219074	-0.10461681686709692
17	210	fetal	F_23wks_1	0.7638426095341879	-0.10265601150904384	-0.11830930966422672	0.1514408825465611	0.08599540659927185	-0.01995410644667489	0.01748422171956017	-0.03870358622916763	-0.03167657460559542	-0.10916803538437353	-0.3841787416934967	-0.36578139970198226	-0.1114186457873337
